"Pattern1","Pattern2","Pattern3","Pattern4","Pattern5","Pattern6","Original_Head"
"PersonX appelle un serrurier","PersonX appelle un serrurier parce qu'il est [MASK] .","PersonX appelle un serrurier parce qu'elle est [MASK] .","PersonX appelle un serrurier parce qu'il [MASK] .","PersonX appelle un serrurier parce qu'elle [MASK] .","PersonX appelle un serrurier pour son [MASK] .","PersonX appelle un serrurier pour sa [MASK] ."
"PersonX jette la première pierre","PersonX jette la première pierre parce qu'il est [MASK] .","PersonX jette la première pierre parce qu'elle est [MASK] .","PersonX jette la première pierre parce qu'il [MASK] .","PersonX jette la première pierre parce qu'elle [MASK] .","PersonX jette la première pierre pour son [MASK] .","PersonX jette la première pierre pour sa [MASK] ."
"PersonX vient et aide","PersonX vient et aide parce qu'il est [MASK] .","PersonX vient et aide parce qu'elle est [MASK] .","PersonX vient et aide parce qu'il [MASK] .","PersonX vient et aide parce qu'elle [MASK] .","PersonX vient et aide pour son [MASK] .","PersonX vient et aide pour sa [MASK] ."
"PersonX est propre","PersonX est propre parce qu'il est [MASK] .","PersonX est propre parce qu'elle est [MASK] .","PersonX est propre parce qu'il [MASK] .","PersonX est propre parce qu'elle [MASK] .","PersonX est propre pour son [MASK] .","PersonX est propre pour sa [MASK] ."
"PersonX se plaint au manager","PersonX se plaint au manager parce qu'il est [MASK] .","PersonX se plaint au manager parce qu'elle est [MASK] .","PersonX se plaint au manager parce qu'il [MASK] .","PersonX se plaint au manager parce qu'elle [MASK] .","PersonX se plaint au manager pour son [MASK] .","PersonX se plaint au manager pour sa [MASK] ."
"PersonX danse toute la nuit","PersonX danse toute la nuit parce qu'il est [MASK] .","PersonX danse toute la nuit parce qu'elle est [MASK] .","PersonX danse toute la nuit parce qu'il [MASK] .","PersonX danse toute la nuit parce qu'elle [MASK] .","PersonX danse toute la nuit pour son [MASK] .","PersonX danse toute la nuit pour sa [MASK] ."
"PersonX décide de faire un gâteau","PersonX décide de faire un gâteau parce qu'il est [MASK] .","PersonX décide de faire un gâteau parce qu'elle est [MASK] .","PersonX décide de faire un gâteau parce qu'il [MASK] .","PersonX décide de faire un gâteau parce qu'elle [MASK] .","PersonX décide de faire un gâteau pour son [MASK] .","PersonX décide de faire un gâteau pour sa [MASK] ."
"PersonX décide de préparer le dîner","PersonX décide de préparer le dîner parce qu'il est [MASK] .","PersonX décide de préparer le dîner parce qu'elle est [MASK] .","PersonX décide de préparer le dîner parce qu'il [MASK] .","PersonX décide de préparer le dîner parce qu'elle [MASK] .","PersonX décide de préparer le dîner pour son [MASK] .","PersonX décide de préparer le dîner pour sa [MASK] ."
"PersonX décide d'y aller quand même","PersonX décide d'y aller quand même parce qu'il est [MASK] .","PersonX décide d'y aller quand même parce qu'elle est [MASK] .","PersonX décide d'y aller quand même parce qu'il [MASK] .","PersonX décide d'y aller quand même parce qu'elle [MASK] .","PersonX décide d'y aller quand même pour son [MASK] .","PersonX décide d'y aller quand même pour sa [MASK] ."
"PersonX décide d'avoir une vente de garage","PersonX décide d'avoir une vente de garage parce qu'il est [MASK] .","PersonX décide d'avoir une vente de garage parce qu'elle est [MASK] .","PersonX décide d'avoir une vente de garage parce qu'il [MASK] .","PersonX décide d'avoir une vente de garage parce qu'elle [MASK] .","PersonX décide d'avoir une vente de garage pour son [MASK] .","PersonX décide d'avoir une vente de garage pour sa [MASK] ."
"PersonX creuse des trous","PersonX creuse des trous parce qu'il est [MASK] .","PersonX creuse des trous parce qu'elle est [MASK] .","PersonX creuse des trous parce qu'il [MASK] .","PersonX creuse des trous parce qu'elle [MASK] .","PersonX creuse des trous pour son [MASK] .","PersonX creuse des trous pour sa [MASK] ."
"PersonX fait un très bon travail","PersonX fait un très bon travail parce qu'il est [MASK] .","PersonX fait un très bon travail parce qu'elle est [MASK] .","PersonX fait un très bon travail parce qu'il [MASK] .","PersonX fait un très bon travail parce qu'elle [MASK] .","PersonX fait un très bon travail pour son [MASK] .","PersonX fait un très bon travail pour sa [MASK] ."
"PersonX fait quelque chose de bien","PersonX fait quelque chose de bien parce qu'il est [MASK] .","PersonX fait quelque chose de bien parce qu'elle est [MASK] .","PersonX fait quelque chose de bien parce qu'il [MASK] .","PersonX fait quelque chose de bien parce qu'elle [MASK] .","PersonX fait quelque chose de bien pour son [MASK] .","PersonX fait quelque chose de bien pour sa [MASK] ."
"PersonX fait ce qu'il faut","PersonX fait ce qu'il faut parce qu'il est [MASK] .","PersonX fait ce qu'il faut parce qu'elle est [MASK] .","PersonX fait ce qu'il faut parce qu'il [MASK] .","PersonX fait ce qu'il faut parce qu'elle [MASK] .","PersonX fait ce qu'il faut pour son [MASK] .","PersonX fait ce qu'il faut pour sa [MASK] ."
"PersonX réussit bien à l'école","PersonX réussit bien à l'école parce qu'il est [MASK] .","PersonX réussit bien à l'école parce qu'elle est [MASK] .","PersonX réussit bien à l'école parce qu'il [MASK] .","PersonX réussit bien à l'école parce qu'elle [MASK] .","PersonX réussit bien à l'école pour son [MASK] .","PersonX réussit bien à l'école pour sa [MASK] ."
"PersonX boit du thé","PersonX boit du thé parce qu'il est [MASK] .","PersonX boit du thé parce qu'elle est [MASK] .","PersonX boit du thé parce qu'il [MASK] .","PersonX boit du thé parce qu'elle [MASK] .","PersonX boit du thé pour son [MASK] .","PersonX boit du thé pour sa [MASK] ."
"PersonX se rend à la station-service","PersonX se rend à la station-service parce qu'il est [MASK] .","PersonX se rend à la station-service parce qu'elle est [MASK] .","PersonX se rend à la station-service parce qu'il [MASK] .","PersonX se rend à la station-service parce qu'elle [MASK] .","PersonX se rend à la station-service pour son [MASK] .","PersonX se rend à la station-service pour sa [MASK] ."
"PersonX roule très vite","PersonX roule très vite parce qu'il est [MASK] .","PersonX roule très vite parce qu'elle est [MASK] .","PersonX roule très vite parce qu'il [MASK] .","PersonX roule très vite parce qu'elle [MASK] .","PersonX roule très vite pour son [MASK] .","PersonX roule très vite pour sa [MASK] ."
"PersonX mange au restaurant","PersonX mange au restaurant parce qu'il est [MASK] .","PersonX mange au restaurant parce qu'elle est [MASK] .","PersonX mange au restaurant parce qu'il [MASK] .","PersonX mange au restaurant parce qu'elle [MASK] .","PersonX mange au restaurant pour son [MASK] .","PersonX mange au restaurant pour sa [MASK] ."
"PersonX déjeune ensemble","PersonX déjeune ensemble parce qu'il est [MASK] .","PersonX déjeune ensemble parce qu'elle est [MASK] .","PersonX déjeune ensemble parce qu'il [MASK] .","PersonX déjeune ensemble parce qu'elle [MASK] .","PersonX déjeune ensemble pour son [MASK] .","PersonX déjeune ensemble pour sa [MASK] ."
"PersonX mange la nourriture","PersonX mange la nourriture parce qu'il est [MASK] .","PersonX mange la nourriture parce qu'elle est [MASK] .","PersonX mange la nourriture parce qu'il [MASK] .","PersonX mange la nourriture parce qu'elle [MASK] .","PersonX mange la nourriture pour son [MASK] .","PersonX mange la nourriture pour sa [MASK] ."
"PersonX gagne de nouveaux clients","PersonX gagne de nouveaux clients parce qu'il est [MASK] .","PersonX gagne de nouveaux clients parce qu'elle est [MASK] .","PersonX gagne de nouveaux clients parce qu'il [MASK] .","PersonX gagne de nouveaux clients parce qu'elle [MASK] .","PersonX gagne de nouveaux clients pour son [MASK] .","PersonX gagne de nouveaux clients pour sa [MASK] ."
"PersonX rassemble une équipe","PersonX rassemble une équipe parce qu'il est [MASK] .","PersonX rassemble une équipe parce qu'elle est [MASK] .","PersonX rassemble une équipe parce qu'il [MASK] .","PersonX rassemble une équipe parce qu'elle [MASK] .","PersonX rassemble une équipe pour son [MASK] .","PersonX rassemble une équipe pour sa [MASK] ."
"PersonX obtient une aide supplémentaire","PersonX obtient une aide supplémentaire parce qu'il est [MASK] .","PersonX obtient une aide supplémentaire parce qu'elle est [MASK] .","PersonX obtient une aide supplémentaire parce qu'il [MASK] .","PersonX obtient une aide supplémentaire parce qu'elle [MASK] .","PersonX obtient une aide supplémentaire pour son [MASK] .","PersonX obtient une aide supplémentaire pour sa [MASK] ."
"PersonX se marie aujourd'hui","PersonX se marie aujourd'hui parce qu'il est [MASK] .","PersonX se marie aujourd'hui parce qu'elle est [MASK] .","PersonX se marie aujourd'hui parce qu'il [MASK] .","PersonX se marie aujourd'hui parce qu'elle [MASK] .","PersonX se marie aujourd'hui pour son [MASK] .","PersonX se marie aujourd'hui pour sa [MASK] ."
"PersonX rassemble mes affaires","PersonX rassemble mes affaires parce qu'il est [MASK] .","PersonX rassemble mes affaires parce qu'elle est [MASK] .","PersonX rassemble mes affaires parce qu'il [MASK] .","PersonX rassemble mes affaires parce qu'elle [MASK] .","PersonX rassemble mes affaires pour son [MASK] .","PersonX rassemble mes affaires pour sa [MASK] ."
"PersonX obtient une promotion","PersonX obtient une promotion parce qu'il est [MASK] .","PersonX obtient une promotion parce qu'elle est [MASK] .","PersonX obtient une promotion parce qu'il [MASK] .","PersonX obtient une promotion parce qu'elle [MASK] .","PersonX obtient une promotion pour son [MASK] .","PersonX obtient une promotion pour sa [MASK] ."
"PersonX devient de plus en plus fort","PersonX devient de plus en plus fort parce qu'il est [MASK] .","PersonX devient de plus en plus fort parce qu'elle est [MASK] .","PersonX devient de plus en plus fort parce qu'il [MASK] .","PersonX devient de plus en plus fort parce qu'elle [MASK] .","PersonX devient de plus en plus fort pour son [MASK] .","PersonX devient de plus en plus fort pour sa [MASK] ."
"PersonX donne de l'argent","PersonX donne de l'argent parce qu'il est [MASK] .","PersonX donne de l'argent parce qu'elle est [MASK] .","PersonX donne de l'argent parce qu'il [MASK] .","PersonX donne de l'argent parce qu'elle [MASK] .","PersonX donne de l'argent pour son [MASK] .","PersonX donne de l'argent pour sa [MASK] ."
"PersonX donne l'heure de la journée","PersonX donne l'heure de la journée parce qu'il est [MASK] .","PersonX donne l'heure de la journée parce qu'elle est [MASK] .","PersonX donne l'heure de la journée parce qu'il [MASK] .","PersonX donne l'heure de la journée parce qu'elle [MASK] .","PersonX donne l'heure de la journée pour son [MASK] .","PersonX donne l'heure de la journée pour sa [MASK] ."
"PersonX fait du camping dans les bois","PersonX fait du camping dans les bois parce qu'il est [MASK] .","PersonX fait du camping dans les bois parce qu'elle est [MASK] .","PersonX fait du camping dans les bois parce qu'il [MASK] .","PersonX fait du camping dans les bois parce qu'elle [MASK] .","PersonX fait du camping dans les bois pour son [MASK] .","PersonX fait du camping dans les bois pour sa [MASK] ."
"PersonX va pêcher avec mon père","PersonX va pêcher avec mon père parce qu'il est [MASK] .","PersonX va pêcher avec mon père parce qu'elle est [MASK] .","PersonX va pêcher avec mon père parce qu'il [MASK] .","PersonX va pêcher avec mon père parce qu'elle [MASK] .","PersonX va pêcher avec mon père pour son [MASK] .","PersonX va pêcher avec mon père pour sa [MASK] ."
"PersonX va jouer","PersonX va jouer parce qu'il est [MASK] .","PersonX va jouer parce qu'elle est [MASK] .","PersonX va jouer parce qu'il [MASK] .","PersonX va jouer parce qu'elle [MASK] .","PersonX va jouer pour son [MASK] .","PersonX va jouer pour sa [MASK] ."
"PersonX va dans un fast-food","PersonX va dans un fast-food parce qu'il est [MASK] .","PersonX va dans un fast-food parce qu'elle est [MASK] .","PersonX va dans un fast-food parce qu'il [MASK] .","PersonX va dans un fast-food parce qu'elle [MASK] .","PersonX va dans un fast-food pour son [MASK] .","PersonX va dans un fast-food pour sa [MASK] ."
"PersonX organise un dîner","PersonX organise un dîner parce qu'il est [MASK] .","PersonX organise un dîner parce qu'elle est [MASK] .","PersonX organise un dîner parce qu'il [MASK] .","PersonX organise un dîner parce qu'elle [MASK] .","PersonX organise un dîner pour son [MASK] .","PersonX organise un dîner pour sa [MASK] ."
"PersonX a une fête d'Halloween","PersonX a une fête d'Halloween parce qu'il est [MASK] .","PersonX a une fête d'Halloween parce qu'elle est [MASK] .","PersonX a une fête d'Halloween parce qu'il [MASK] .","PersonX a une fête d'Halloween parce qu'elle [MASK] .","PersonX a une fête d'Halloween pour son [MASK] .","PersonX a une fête d'Halloween pour sa [MASK] ."
"PersonX a un petit chien","PersonX a un petit chien parce qu'il est [MASK] .","PersonX a un petit chien parce qu'elle est [MASK] .","PersonX a un petit chien parce qu'il [MASK] .","PersonX a un petit chien parce qu'elle [MASK] .","PersonX a un petit chien pour son [MASK] .","PersonX a un petit chien pour sa [MASK] ."
"PersonX vient d'avoir un nouveau bébé","PersonX vient d'avoir un nouveau bébé parce qu'il est [MASK] .","PersonX vient d'avoir un nouveau bébé parce qu'elle est [MASK] .","PersonX vient d'avoir un nouveau bébé parce qu'il [MASK] .","PersonX vient d'avoir un nouveau bébé parce qu'elle [MASK] .","PersonX vient d'avoir un nouveau bébé pour son [MASK] .","PersonX vient d'avoir un nouveau bébé pour sa [MASK] ."
"PersonX vient d'emménager dans un nouvel appartement","PersonX vient d'emménager dans un nouvel appartement parce qu'il est [MASK] .","PersonX vient d'emménager dans un nouvel appartement parce qu'elle est [MASK] .","PersonX vient d'emménager dans un nouvel appartement parce qu'il [MASK] .","PersonX vient d'emménager dans un nouvel appartement parce qu'elle [MASK] .","PersonX vient d'emménager dans un nouvel appartement pour son [MASK] .","PersonX vient d'emménager dans un nouvel appartement pour sa [MASK] ."
"PersonX a deux enfants","PersonX a deux enfants parce qu'il est [MASK] .","PersonX a deux enfants parce qu'elle est [MASK] .","PersonX a deux enfants parce qu'il [MASK] .","PersonX a deux enfants parce qu'elle [MASK] .","PersonX a deux enfants pour son [MASK] .","PersonX a deux enfants pour sa [MASK] ."
"PersonX embauche un entraîneur","PersonX embauche un entraîneur parce qu'il est [MASK] .","PersonX embauche un entraîneur parce qu'elle est [MASK] .","PersonX embauche un entraîneur parce qu'il [MASK] .","PersonX embauche un entraîneur parce qu'elle [MASK] .","PersonX embauche un entraîneur pour son [MASK] .","PersonX embauche un entraîneur pour sa [MASK] ."
