Pattern 1,Pattern 2,Pattern 3,Pattern 4,Pattern 5,Pattern 6,Original Head
PersonX orders anything because he is [MASK] .,PersonX orders anything because she is [MASK] .,PersonX orders anything because he [MASK] .,PersonX orders anything because she [MASK] .,PersonX orders anything because of his [MASK] .,PersonX orders anything because of her [MASK] .,PersonX orders anything
PersonX orders something because he is [MASK] .,PersonX orders something because she is [MASK] .,PersonX orders something because he [MASK] .,PersonX orders something because she [MASK] .,PersonX orders something because of his [MASK] .,PersonX orders something because of her [MASK] .,PersonX orders something
PersonX pardons my french because he is [MASK] .,PersonX pardons my french because she is [MASK] .,PersonX pardons my french because he [MASK] .,PersonX pardons my french because she [MASK] .,PersonX pardons my french because of his [MASK] .,PersonX pardons my french because of her [MASK] .,PersonX pardons my french
PersonX patiently waited because he is [MASK] .,PersonX patiently waited because she is [MASK] .,PersonX patiently waited because he [MASK] .,PersonX patiently waited because she [MASK] .,PersonX patiently waited because of his [MASK] .,PersonX patiently waited because of her [MASK] .,PersonX patiently waited
PersonX pays money because he is [MASK] .,PersonX pays money because she is [MASK] .,PersonX pays money because he [MASK] .,PersonX pays money because she [MASK] .,PersonX pays money because of his [MASK] .,PersonX pays money because of her [MASK] .,PersonX pays money
PersonX picks it up right away because he is [MASK] .,PersonX picks it up right away because she is [MASK] .,PersonX picks it up right away because he [MASK] .,PersonX picks it up right away because she [MASK] .,PersonX picks it up right away because of his [MASK] .,PersonX picks it up right away because of her [MASK] .,PersonX picks it up right away
PersonX plays banjo because he is [MASK] .,PersonX plays banjo because she is [MASK] .,PersonX plays banjo because he [MASK] .,PersonX plays banjo because she [MASK] .,PersonX plays banjo because of his [MASK] .,PersonX plays banjo because of her [MASK] .,PersonX plays banjo
PersonX plays computer games because he is [MASK] .,PersonX plays computer games because she is [MASK] .,PersonX plays computer games because he [MASK] .,PersonX plays computer games because she [MASK] .,PersonX plays computer games because of his [MASK] .,PersonX plays computer games because of her [MASK] .,PersonX plays computer games
PersonX plays great because he is [MASK] .,PersonX plays great because she is [MASK] .,PersonX plays great because he [MASK] .,PersonX plays great because she [MASK] .,PersonX plays great because of his [MASK] .,PersonX plays great because of her [MASK] .,PersonX plays great
PersonX plays silly buggers because he is [MASK] .,PersonX plays silly buggers because she is [MASK] .,PersonX plays silly buggers because he [MASK] .,PersonX plays silly buggers because she [MASK] .,PersonX plays silly buggers because of his [MASK] .,PersonX plays silly buggers because of her [MASK] .,PersonX plays silly buggers
PersonX plays the game because he is [MASK] .,PersonX plays the game because she is [MASK] .,PersonX plays the game because he [MASK] .,PersonX plays the game because she [MASK] .,PersonX plays the game because of his [MASK] .,PersonX plays the game because of her [MASK] .,PersonX plays the game
PersonX practices a lot because he is [MASK] .,PersonX practices a lot because she is [MASK] .,PersonX practices a lot because he [MASK] .,PersonX practices a lot because she [MASK] .,PersonX practices a lot because of his [MASK] .,PersonX practices a lot because of her [MASK] .,PersonX practices a lot
PersonX practices all summer because he is [MASK] .,PersonX practices all summer because she is [MASK] .,PersonX practices all summer because he [MASK] .,PersonX practices all summer because she [MASK] .,PersonX practices all summer because of his [MASK] .,PersonX practices all summer because of her [MASK] .,PersonX practices all summer
PersonX practices for months because he is [MASK] .,PersonX practices for months because she is [MASK] .,PersonX practices for months because he [MASK] .,PersonX practices for months because she [MASK] .,PersonX practices for months because of his [MASK] .,PersonX practices for months because of her [MASK] .,PersonX practices for months
PersonX practices really hard because he is [MASK] .,PersonX practices really hard because she is [MASK] .,PersonX practices really hard because he [MASK] .,PersonX practices really hard because she [MASK] .,PersonX practices really hard because of his [MASK] .,PersonX practices really hard because of her [MASK] .,PersonX practices really hard
PersonX pulls a muscle because he is [MASK] .,PersonX pulls a muscle because she is [MASK] .,PersonX pulls a muscle because he [MASK] .,PersonX pulls a muscle because she [MASK] .,PersonX pulls a muscle because of his [MASK] .,PersonX pulls a muscle because of her [MASK] .,PersonX pulls a muscle
PersonX pulls an all nighter because he is [MASK] .,PersonX pulls an all nighter because she is [MASK] .,PersonX pulls an all nighter because he [MASK] .,PersonX pulls an all nighter because she [MASK] .,PersonX pulls an all nighter because of his [MASK] .,PersonX pulls an all nighter because of her [MASK] .,PersonX pulls an all nighter
PersonX puts a lid on it because he is [MASK] .,PersonX puts a lid on it because she is [MASK] .,PersonX puts a lid on it because he [MASK] .,PersonX puts a lid on it because she [MASK] .,PersonX puts a lid on it because of his [MASK] .,PersonX puts a lid on it because of her [MASK] .,PersonX puts a lid on it
PersonX puts it away because he is [MASK] .,PersonX puts it away because she is [MASK] .,PersonX puts it away because he [MASK] .,PersonX puts it away because she [MASK] .,PersonX puts it away because of his [MASK] .,PersonX puts it away because of her [MASK] .,PersonX puts it away
PersonX puts out feelers because he is [MASK] .,PersonX puts out feelers because she is [MASK] .,PersonX puts out feelers because he [MASK] .,PersonX puts out feelers because she [MASK] .,PersonX puts out feelers because of his [MASK] .,PersonX puts out feelers because of her [MASK] .,PersonX puts out feelers
PersonX puts out to pasture because he is [MASK] .,PersonX puts out to pasture because she is [MASK] .,PersonX puts out to pasture because he [MASK] .,PersonX puts out to pasture because she [MASK] .,PersonX puts out to pasture because of his [MASK] .,PersonX puts out to pasture because of her [MASK] .,PersonX puts out to pasture
PersonX puts pen to paper because he is [MASK] .,PersonX puts pen to paper because she is [MASK] .,PersonX puts pen to paper because he [MASK] .,PersonX puts pen to paper because she [MASK] .,PersonX puts pen to paper because of his [MASK] .,PersonX puts pen to paper because of her [MASK] .,PersonX puts pen to paper
PersonX puts the eggs because he is [MASK] .,PersonX puts the eggs because she is [MASK] .,PersonX puts the eggs because he [MASK] .,PersonX puts the eggs because she [MASK] .,PersonX puts the eggs because of his [MASK] .,PersonX puts the eggs because of her [MASK] .,PersonX puts the eggs
PersonX puts the phone away because he is [MASK] .,PersonX puts the phone away because she is [MASK] .,PersonX puts the phone away because he [MASK] .,PersonX puts the phone away because she [MASK] .,PersonX puts the phone away because of his [MASK] .,PersonX puts the phone away because of her [MASK] .,PersonX puts the phone away
PersonX puts to the test because he is [MASK] .,PersonX puts to the test because she is [MASK] .,PersonX puts to the test because he [MASK] .,PersonX puts to the test because she [MASK] .,PersonX puts to the test because of his [MASK] .,PersonX puts to the test because of her [MASK] .,PersonX puts to the test
PersonX quickly called because he is [MASK] .,PersonX quickly called because she is [MASK] .,PersonX quickly called because he [MASK] .,PersonX quickly called because she [MASK] .,PersonX quickly called because of his [MASK] .,PersonX quickly called because of her [MASK] .,PersonX quickly called
PersonX quits understanding objective reality because he is [MASK] .,PersonX quits understanding objective reality because she is [MASK] .,PersonX quits understanding objective reality because he [MASK] .,PersonX quits understanding objective reality because she [MASK] .,PersonX quits understanding objective reality because of his [MASK] .,PersonX quits understanding objective reality because of her [MASK] .,PersonX quits understanding objective reality
PersonX raises the bar because he is [MASK] .,PersonX raises the bar because she is [MASK] .,PersonX raises the bar because he [MASK] .,PersonX raises the bar because she [MASK] .,PersonX raises the bar because of his [MASK] .,PersonX raises the bar because of her [MASK] .,PersonX raises the bar
PersonX reads a book because he is [MASK] .,PersonX reads a book because she is [MASK] .,PersonX reads a book because he [MASK] .,PersonX reads a book because she [MASK] .,PersonX reads a book because of his [MASK] .,PersonX reads a book because of her [MASK] .,PersonX reads a book
PersonX reads a lot because he is [MASK] .,PersonX reads a lot because she is [MASK] .,PersonX reads a lot because he [MASK] .,PersonX reads a lot because she [MASK] .,PersonX reads a lot because of his [MASK] .,PersonX reads a lot because of her [MASK] .,PersonX reads a lot
PersonX reads a newspaper because he is [MASK] .,PersonX reads a newspaper because she is [MASK] .,PersonX reads a newspaper because he [MASK] .,PersonX reads a newspaper because she [MASK] .,PersonX reads a newspaper because of his [MASK] .,PersonX reads a newspaper because of her [MASK] .,PersonX reads a newspaper
PersonX reads the story because he is [MASK] .,PersonX reads the story because she is [MASK] .,PersonX reads the story because he [MASK] .,PersonX reads the story because she [MASK] .,PersonX reads the story because of his [MASK] .,PersonX reads the story because of her [MASK] .,PersonX reads the story
